"","sib1","sib2","sib3","sib4","sib5","sib6","Country","family","id"
"327","Joe Watson","Jimmy Watson",NA,NA,NA,NA,"Canada","Watson",327
"328","Kyle Wellwood","Eric Wellwood",NA,NA,NA,NA,"Canada","Wellwood",328
"329","Blake Wesley","Glen Wesley",NA,NA,NA,NA,"Canada","Wesley",329
"330","Fred Williams","Gord Williams",NA,NA,NA,NA,"Canada","Williams",330
"331","Tom Williams","Butch Williams",NA,NA,NA,NA,"United States","Williams",331
"332","Johnny Wilson","Larry Wilson",NA,NA,NA,NA,"Canada","Wilson",332
"333","Murray Wilson","Doug Wilson",NA,NA,NA,NA,"Canada","Wilson",333
"334","Tyler Wotherspoon","Parker Wotherspoon",NA,NA,NA,NA,"Canada","Wotherspoon",334
"335","Arber Xhekaj","Florian Xhekaj",NA,NA,NA,NA,"Canada","Xhekaj",335
"336","Gary Yaremchuk","Ken Yaremchuk",NA,NA,NA,NA,"Canada","Yaremchuk",336
"337","Steven Zalewski","Mike Zalewski",NA,NA,NA,NA,"United States","Zalewski",337
